id,university_short_name,major_code,program_source_code,program_name,quota,source,source_school_id,is_active
6cc5c670-1e2a-5d65-8d13-e89598b63f4b,BVH,7329001_GAM,7329001_GAM,Thiết kế và phát triển Game,150,tuyensinh247,227,true
63ee24ce-19b6-551e-b4c6-7834096edf1e,BVH,7329001_LK,7329001_LK,"Công nghệ Đa phương tiện (Liên kết với đại học Canberra, Australia)",20,tuyensinh247,227,true
38661de6-d8bd-5727-a4ef-b6699e7126b4,BVH,7329001_VHO,7329001_VHO,Công nghệ công nghiệp văn hóa số (định hướng điện ảnh),50,tuyensinh247,,true
cf7376f2-f1bb-58bb-a192-53f309853658,BVH,7329001_,7329001_ĐGA,Thiết kế đồ họa game,30,tuyensinh247,,true
5b2eaeed-afe3-5014-bf5d-f75c36728ff2,BVH,7340101,7340101,Quản trị kinh doanh,170,tuyensinh247,227,true
0df0adef-cfe4-5bbd-8be9-39364b17935d,BVH,7340101_LOG,7340101_LOG,Logistics và quản trị chuỗi cung ứng,80,tuyensinh247,227,true
2d258d96-e3af-5183-a662-08198fc8d64f,BVH,7340101_LTT,7340101_LTT,Logistics trong kinh tế tầm thấp,50,tuyensinh247,,true
f8e7b9ee-fb45-5b27-b9fb-12fee7cd3cb0,BVH,7340101_,7340101_ĐSK,Quản trị Đổi mới sáng tạo và khởi nghiệp,50,tuyensinh247,,true
6f8097b3-6ceb-5cf6-88aa-991326d4fc70,BVH,7340115,7340115,Marketing,240,tuyensinh247,227,true
7032a629-3a99-5714-b4f7-37c43657c925,BVH,7340115,7340115 _CLC,Marketing,130,tuyensinh247,,true
b1e3cbef-889b-58e8-926e-8aba14375dab,BVH,7340115_QHC,7340115_QHC,Quan hệ công chúng,110,tuyensinh247,227,true
99f2df80-c534-50fc-857b-2f6d7f198af4,BVH,7340122,7340122,Thương mại điện tử,180,tuyensinh247,227,true
4c6dc9f5-0e79-5486-b7a0-3c62b43a5c98,BVH,7340201_DAT,7340201_DAT,"Phân tích dữ liệu trong tài chính, kinh doanh",110,tuyensinh247,,true
adbf2cd0-e3e0-5385-92b9-d74b173d08af,BVH,7340205,7340205,Công nghệ tài chính (Fintech),160,tuyensinh247,227,true
a847858c-df78-5506-b2a2-d7ae6bb30cda,BVH,7340205_LK,7340205_LK,"Công nghệ tài chính (Liên kết đại học Huddersfield, Vương Quốc Anh)",20,tuyensinh247,227,true
0a2fed13-1f06-58de-8b28-d34c137042d5,BVH,7340301,7340301,Kế toán,200,tuyensinh247,227,true
82415df3-8566-5efa-a9b4-4a97adcc8c86,BVH,7340301_CLC,7340301_CLC,Kế toán (chuẩn quốc tế ACCA),60,tuyensinh247,227,true
da784dfc-a148-5f0a-a001-8e80da52d918,BVH,7480101,7480101,Khoa học dữ liệu,160,tuyensinh247,227,true
25e4eee0-1f35-5d12-b871-e77234e5413d,BVH,7480102,7480102,Kỹ thuật dữ liệu,135,tuyensinh247,227,true
bafa37bb-5a25-5dc3-96bc-dd33f80b1ab0,BVH,7480107,7480107,Trí tuệ nhân tạo,160,tuyensinh247,227,true
e9eb684d-d533-5574-b17c-24003c8fa52d,BVH,7480201,7480201,Công nghệ thông tin,600,tuyensinh247,227,true
722b210b-1e79-5813-9854-461eab71a4cf,BVH,7480201,7480201 _UDU,Công nghệ thông tin (định hướng ứng dụng),330,tuyensinh247,227,true
874c8a0f-e083-5995-b4c3-cea57a7c7ac4,BVH,7480201_CLC,7480201_CLC,Công nghệ thông tin,370,tuyensinh247,227,true
a7c8ea73-c66b-53b0-87de-fda3f4b7d838,BVH,7480201_LK,7480201_LK,"Công nghệ thông tin Liên kết với Đại học Macquarie, Australia)",20,tuyensinh247,227,true
3aefca66-7d50-5ffb-b612-785b385c6f32,BVH,7480201_VNH,7480201_VNH,Công nghệ thông tin Việt - Nhật,110,tuyensinh247,227,true
264e468f-cc49-570a-805e-2ee03e34b41b,BVH,7480202,7480202,An toàn thông tin,200,tuyensinh247,227,true
c2826db8-fa39-59bd-a6d3-43f0a2086a29,BVH,7480202_CLC,7480202_CLC,An toàn thông tin,120,tuyensinh247,227,true
856bd61e-448c-5fcf-9b0c-31c039089afb,BVH,7510301,7510301,"Công nghệ Kỹ thuật Điện, điện tử",260,tuyensinh247,227,true
703ba658-a37c-591b-aed6-5da41641b834,BVH,7510301_MBD,7510301_MBD,Công nghệ vi mạch bán dẫn,175,tuyensinh247,227,true
e1048c2e-c498-5425-b095-bdad7a6591e4,BVH,7520207,7520207,Kỹ thuật Điện tử viễn thông,410,tuyensinh247,227,true
a4dcc867-0886-5a66-abf1-a9ffe4587f06,BVH,7520207_,7520207_ AIoT,Trí tuệ nhân tạo vạn vật (AIoT),90,tuyensinh247,,true
70e99edd-eb58-5ba0-bc7c-a86a74f77500,BVH,7520207_THV,7520207_THV,Kỹ thuật Truyền thông Hàng không vũ trụ,50,tuyensinh247,,true
4697a0c8-7af2-5b6f-9f5d-588859babc2d,BVH,7520216,7520216,Kỹ thuật Điều khiển và tự động hóa,80,tuyensinh247,227,true
d11ab465-4e51-5946-9f36-c2e8186caa64,BVH,7520216_UAV,7520216_UAV,UAV và Robot di động tự hành,50,tuyensinh247,,true
1da7e8d5-b2d1-544b-8f45-5a3596634b1b,CCM,7210403,7210403,Thiết kế đồ hoạ,90,tuyensinh247,25,true
20ccd56e-5c02-5649-a260-c124d92693ef,CCM,7210404,7210404,Thiết kế thời trang,100,tuyensinh247,25,true
e05b2355-7ba9-5469-9e15-c0340f5f583b,CCM,7340101,7340101,Quản trị kinh doanh,160,tuyensinh247,25,true
80b68039-91c5-583c-8e19-c403f4e36858,CCM,7340115,7340115,Marketing,240,tuyensinh247,25,true
be96c20d-a4d2-571a-acfa-9111b58a8f50,CCM,7340122,7340122,Thương mại điện tử,140,tuyensinh247,25,true
24314bff-c8c6-5b18-88d3-707e22dbcf7f,CCM,7340301,7340301,Kế toán,120,tuyensinh247,25,true
1d85a3cd-a4ed-51b4-ae09-e47892f090b1,CCM,7510201,7510201,Công nghệ kỹ thuật cơ khí,90,tuyensinh247,25,true
5dbaee0f-2512-5147-8561-32b154c0dc4b,CCM,7510301,7510301,"Công nghệ kỹ thuật điện, điện tử",120,tuyensinh247,25,true
72ac2de3-dfb7-550e-88b5-d2a4c0d3705f,CCM,7510601,7510601,Quản lý công nghiệp,120,tuyensinh247,25,true
873a44b0-ec5a-5da3-aea8-2f48b8bf2b2d,CCM,7540202,7540202,"Công nghệ sợi, dệt",20,tuyensinh247,25,true
195438ed-4bc6-5403-a81a-44b8e53b055f,CCM,7540209,7540209,Công nghệ may,440,tuyensinh247,25,true
f1191ce3-9907-5ee2-967c-f1cf4eed81a5,CMC,AI,AI,Trí tuệ Nhân tạo,80,tuyensinh247,557,true
b17a0b08-0878-56f0-b291-a9704ebb3cbd,CMC,BA,BA,Quản trị Kinh doanh,160,tuyensinh247,557,true
fb78a24b-4a2e-5b08-b19a-c9b3856588e2,CMC,CB,CB,Tiếng Trung Thương mại *,40,tuyensinh247,,true
e6940cd9-c3a1-543c-a582-de5b3fe81c50,CMC,CL,CL,Ngôn ngữ Trung Quốc,160,tuyensinh247,557,true
84a74714-4be9-557b-aa7c-5e61f12ab08b,CMC,CS,CS,Khoa học Máy tính,80,tuyensinh247,557,true
4d6a4e74-2f38-5356-9d9a-a1d510033f3c,CMC,DA,DA,Thiết kế Mỹ thuật số *,40,tuyensinh247,,true
37c8eb7c-72d6-5f1e-a16d-a91c07dc718e,CMC,EC,EC,Công nghệ Kỹ thuật Điện tử - Viễn thông (Thiết kế vi mạch bán dẫn),80,tuyensinh247,557,true
6ba18641-f280-5f58-96a3-520851533796,CMC,EM,EM,Thương mại Điện tử,80,tuyensinh247,,true
08c2e242-ac86-5c3d-bc4a-6a1d515a2ffa,CMC,GA,GA,Đồ họa Game,80,tuyensinh247,557,true
6bea1152-e87a-5e3d-8740-60ff3309b205,CMC,GD,GD,Thiết kế Đồ họa,160,tuyensinh247,557,true
90ae10e4-fa40-52ce-9dc5-27428774b915,CMC,IB,IB,Kinh doanh Quốc tế *,40,tuyensinh247,,true
420acca6-dd21-5076-b6ca-f79cacbfc6ea,CMC,IT,IT,Công nghệ Thông tin,240,tuyensinh247,557,true
5a557648-1118-55e9-81eb-28401daea212,CMC,KL,KL,Ngôn ngữ Hàn Quốc,80,tuyensinh247,557,true
2befe729-2135-5f24-a3fe-338dd0c20545,CMC,LS,LS,Logistics và Quản lý chuỗi cung ứng,80,tuyensinh247,557,true
