major_code,subject_group_code
7340101_AP,A00
7340101_AP,A01
7340101_AP,D01
7340101_AP,D07
7340101_IU,A00
7340101_IU,A01
7340101_IU,D01
7340101_IU,D07
7340101_IV,A00
7340101_IV,A01
7340101_IV,D01
7340101_IV,D07
7340201,A00
7340201_AP,A00
7340201_AP,A01
7340201_AP,D01
7340201_AP,D07
7340301_AP,A00
7340301_AP,A01
7340301_AP,D01
7340301_AP,D07
7340301_I,A00
7340301_I,A01
7340301_I,D01
7340301_I,D07
7340301_J,A00
7340301_J,A01
7340301_J,D01
7340301_J,D07
7340405,A00
7340405,A01
7340405,D01
7340405,D07
7340405_J,A00
7340405_J,A01
7340405_J,D01
7340405_J,D07
7380107_A,C00
7380107_A,C03
7380107_A,D01
7380107_A,D14
7380107_C,C00
7380107_C,C03
7380107_C,D01
7380107_C,D14
7480201,D01
7480201,D07
7340201_AP_NH,A00
7340201_AP_NH,A01
7340201_AP_NH,D01
7340201_AP_NH,D07
7340201_AP_TC,A00
7340201_AP_TC,A01
7340201_AP_TC,D01
7340201_AP_TC,D07
7340201_NH,A00
7340201_NH,A01
7340201_NH,D01
7340201_NH,D07
7340201_TC,A00
7340201_TC,A01
7340201_TC,D01
7340201_TC,D07
ACT01,A01
ACT01,D01
ACT01,D07
ACT01,D09
ACT02,A00
ACT02,A01
ACT02,D01
ACT02,D07
ACT03,A00
ACT03,A01
ACT03,D01
ACT03,D07
BANK01,A01
BANK01,D01
BANK01,D07
BANK01,D09
BANK04,A00
BANK04,A01
BANK04,D01
BANK04,D07
BANK05,A00
BANK05,A01
BANK05,D01
BANK05,D07
BANKK02,A00
BANKK02,A01
BANKK02,D01
BANKK02,D07
BANKK03,A00
BANKK03,A01
BANKK03,D01
BANKK03,D07
BUS01,A01
BUS01,D01
BUS01,D07
BUS01,D09
BUS02,A00
BUS02,A01
BUS02,D01
BUS02,D07
BUS03,A01
BUS03,D01
BUS03,D07
BUS03,D09
BUS04,A00
BUS04,A01
BUS04,D01
BUS04,D07
BUS05,A00
BUS05,A01
BUS05,D01
BUS05,D07
ECON01,A01
ECON01,D01
ECON01,D07
ECON01,D09
FIN01,A01
FIN01,D01
FIN01,D07
FIN01,D09
FIN02,A00
FIN02,A01
FIN02,D01
FIN02,D07
FIN03,A00
FIN03,A01
FIN03,D01
FIN03,D07
FL01,A01
FL01,D01
FL01,D07
FL01,D09
IB01,A01
IB01,D01
IB01,D07
IB01,D09
IB02,A01
IB02,D01
IB02,D07
IB02,D09
IB03,A01
IB03,D01
IB03,D07
IB03,D09
IT01,A00
IT01,A01
IT01,D01
IT01,D07
LAW01,C00
LAW01,C03
LAW01,D01
LAW01,D14
LAW02,C00
LAW02,C03
LAW02,D01
LAW02,D14
MIS01,A00
MIS01,A01
MIS01,D01
MIS01,D07
ACT04,A00
ACT04,A01
ACT04,D01
ACT04,D07
BANK02,A00
BANK02,A01
BANK02,D01
BANK02,D07
BANK03,A00
BANK03,A01
BANK03,D01
BANK03,D07
BANK06,A01
BANK06,D01
BANK06,D07
BANK06,D09
BUS06,A01
BUS06,D01
BUS06,D07
BUS06,D09
ECON02,A01
ECON02,D01
ECON02,D07
ECON02,D09
IB04,A01
IB04,D01
IB04,D07
IB04,D09
BANK07,A01
BANK07,D01
BANK07,D07
BANK07,D09
BUS07,A00
BUS07,A01
BUS07,D01
BUS07,D07
DS01,A00
DS01,A01
DS01,D01
DS01,D07
FIN04,A01
FIN04,D01
FIN04,D07
FIN04,D09
FL02,A01
FL02,D01
FL02,D07
FL02,D09
IB05,A01
IB05,D01
IB05,D07
IB05,D09
MIS02,A01
MIS02,D01
MIS02,D07
MIS02,D09
7480201_J,A00
7480201_J,A01
7480201_J,D01
7480201_J,D07
7520120,A00
7520120,A01
7860226,A00
7860226,A01
7860226,C01
7860226,Q00
7520120,C01
7310101,C03
7310101,X26
7310301,A00
7310301,A01
7310301,C00
7310399,C00
7310399,C03
7310399,D01
7310399,D09
7310399,D14
7310399,D15
7310399,Q00
7310401,C00
7310401,C03
7310401,D01
7310401,D14
7310401,D15
7310401,Q00
7340101,C00
7340101,C03
7340101,D14
7340101,D15
7380101,A00
7380101,A01
7380101,C00
7380101,D14
7380101,D15
7380107,A00
7380107,D14
7380107,D15
7480201,D09
7760101,C00
7760101,D14
7760101,D15
7760101,Q00
7810103,A00
7810103,A01
7810103,C00
7810103,C03
7810103,D01
7810103,D14
7810103,D15
7810103,Q00
7320104,C00
7320104,C03
7340101CLC,A00
7340101CLC,A01
7340101CLC,C00
7340101CLC,C03
7340101CLC,D01
7340101CLC,D14
7340101CLC,D15
7340101CLC,Q00
7340101LK,A00
7340101LK,A01
7340101LK,C00
7340101LK,C03
7340101LK,D01
7340101LK,D14
7340101LK,D15
7340101LK,Q00
7420201,A00
7420201,A01
7420201,D01
7420201,D09
7420201,Q00
7420201,X06
7420201,X26
7760101PH,C00
7760101PH,C03
7760101PH,D01
7760101PH,D14
7760101PH,D15
7760101PH,Q00
7810103PH,A00
7810103PH,A01
7810103PH,C00
7810103PH,C03
7810103PH,D01
7810103PH,D14
7810103PH,D15
7810103PH,Q00
7310109,C03
7310109,X26
7340101TA,A00
7340101TA,A01
7340101TA,C00
7340101TA,C03
7340101TA,D01
7340101TA,D14
7340101TA,D15
7340101TA,Q00
7340115,C00
7340115,C03
7340115,D14
7340115,D15
7340102,A00
7340102,A01
7340102,C00
7340102,C03
7340102,D01
7340102,D14
7340102,D15
7340102,Q00
7310101,X06
7340201,X06
7340201,X26
7340201C06,A01
7340201C06,D01
7340201C06,D07
7340201C09,A00
7340201C09,A01
7340201C09,D01
7340201C09,D07
7340201C09,X06
7340201C09,X26
7340201C11,A00
7340201C11,A01
7340201C11,D01
7340201C11,D07
7340201C11,X06
7340201C11,X26
7340201D,A00
7340201D,A01
7340201D,D01
7340201D,D07
7340201D,X06
7340201D,X26
7340301D,A00
7340301D,A01
7340301D,D01
7340301D,D07
7340301D,X06
7340301D,X26
7340302C21,A00
7340302C21,A01
7340302C21,D01
7340302C21,D07
7340302C21,X06
7340302C21,X26
7340302C22,A00
7340302C22,A01
7340302C22,D01
7340302C22,D07
7340302C22,X06
7340302C22,X26
73402011,A00
73402011,A01
73402011,D01
73402011,D07
73402011,X06
73402011,X26
73402012,A00
73402012,A01
73402012,D01
73402012,D07
73402012,X06
73402012,X26
73402013,A00
73402013,A01
73402013,D01
73402013,D07
73402013,X06
73402013,X26
7340201C06,X26
7340301C21,A00
7340301C21,A01
7340301C21,D01
7340301C21,D07
7340301C21,X06
7340301C21,X26
7340301C22,A00
7340301C22,A01
7340301C22,D01
7340301C22,D07
7340301C22,X06
7340301C22,X26
7340115QT11,A01
7340115QT11,D01
7340115QT11,D07
7340115QT11,X26
7340201QT01,A01
7340201QT01,D01
7340201QT01,D07
7340201QT01,X26
7340301QT02,A01
7340301QT02,D01
7340301QT02,D07
7340301QT02,X26
7340302QT10,A00
7340302QT10,A01
7340302QT10,D01
