university_short_name,program_source_code,major_name,quota,admission_methods,subject_groups,is_verified
ANH,7860114_Nam_B,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Bắc)",66,DGTD,"A00,A01,X26,X27,X28",true
ANH,7860114_Nam_N,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Nam)",3,DGNL_HN,,true
ANH,7860114_Nam_N,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Nam)",3,HBA,,true
ANH,7860114_Nam_N,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nam, miền Nam)",66,DGTD,"A00,A01,X26,X27,X28",true
ANH,7860114_Nu_B,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nữ, miền Bắc)",1,DGNL_HN,,true
ANH,7860114_Nu_B,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nữ, miền Bắc)",1,HBA,,true
ANH,7860114_Nu_B,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nữ, miền Bắc)",5,DGTD,"A00,A01,X26,X27,X28",true
ANH,7860114_Nu_N,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nữ, miền Nam)",1,DGNL_HN,,true
ANH,7860114_Nu_N,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nữ, miền Nam)",1,HBA,,true
ANH,7860114_Nu_N,"Ngành An ninh mạng và phòng chống tội phạm công nghệ cao (Thí sinh Nữ, miền Nam)",5,DGTD,"A00,A01,X26,X27,X28",true
ANH,DS7480201,Công nghệ thông tin,50,DGNL_HN,,true
ANH,DS7480201,Công nghệ thông tin,50,THPT,"A00,A01,D01,X06,X10,X26",true
ANH,DS7480202,An toàn thông tin,50,DGNL_HN,,true
ANH,DS7480202,An toàn thông tin,50,THPT,"A00,A01,D01,D07,X06,X10,X26",true
HEH,7860218_Nam_B,Hậu cần quân sự (Thí sinh Nam miền Bắc),,DGNL_HN,,true
HEH,7860218_Nam_B,Hậu cần quân sự (Thí sinh Nam miền Bắc),,HBA,,true
HEH,7860218_Nam_B,Hậu cần quân sự (Thí sinh Nam miền Bắc),,THPT,"A00,A01,C01,X06",true
HEH,7860218_Nam_B,Hậu cần quân sự (Thí sinh Nam miền Bắc),,DGTD,Q00,true
HEH,7860218_Nam_N,Hậu cần quân sự (Thí sinh Nam miền Nam),,DGNL_HN,,true
HEH,7860218_Nam_N,Hậu cần quân sự (Thí sinh Nam miền Nam),,HBA,,true
HEH,7860218_Nam_N,Hậu cần quân sự (Thí sinh Nam miền Nam),,THPT,"A00,A01,C01,X06",true
HEH,7860218_Nam_N,Hậu cần quân sự (Thí sinh Nam miền Nam),,DGTD,Q00,true
HCP,7310106_1,Kinh tế đối ngoại chất lượng cao,100,DGNL_HN,,true
HCP,7310106_1,Kinh tế đối ngoại chất lượng cao,100,THPT,"A01,D01,D07,X25",true
HCP,7310106_1,Kinh tế đối ngoại chất lượng cao,100,HBA,"A01,D01,D07,X25",true
HCP,7310106_1,Kinh tế đối ngoại chất lượng cao,100,DGTD,"A01,D01,D07,X25",true
HCP,7310106_1,Kinh tế đối ngoại chất lượng cao,100,DGTD,K00,true
HCP,7310106_1,Kinh tế đối ngoại chất lượng cao,100,DGTD,Q00,true
HCP,7340101_1,Quản trị kinh doanh chất lượng cao,100,DGNL_HN,,true
HCP,7340101_1,Quản trị kinh doanh chất lượng cao,100,THPT,"A01,D01,D07,X25",true
HCP,7340101_1,Quản trị kinh doanh chất lượng cao,100,HBA,"A01,D01,D07,X25",true
HCP,7340101_1,Quản trị kinh doanh chất lượng cao,100,DGTD,"A01,D01,D07,X25",true
HCP,7340101_1,Quản trị kinh doanh chất lượng cao,100,DGTD,K00,true
HCP,7340101_1,Quản trị kinh doanh chất lượng cao,100,DGTD,Q00,true
HCP,7340101_2,Quản trị dịch vụ cao cấp,50,DGNL_HN,,true
HCP,7340101_2,Quản trị dịch vụ cao cấp,50,THPT,"A01,D01,D07,X25",true
HCP,7340101_2,Quản trị dịch vụ cao cấp,50,HBA,"A01,D01,D07,X25",true
HCP,7340101_2,Quản trị dịch vụ cao cấp,50,DGTD,"A01,D01,D07,X25",true
HCP,7340101_2,Quản trị dịch vụ cao cấp,50,DGTD,K00,true
HCP,7340101_2,Quản trị dịch vụ cao cấp,50,DGTD,Q00,true
HCP,7340201_1,Tài chính chất lượng cao,100,DGNL_HN,,true
HCP,7340201_1,Tài chính chất lượng cao,100,THPT,"A01,D01,D07,X25",true
HCP,7340201_1,Tài chính chất lượng cao,100,HBA,"A01,D01,D07,X25",true
HCP,7340201_1,Tài chính chất lượng cao,100,DGTD,"A01,D01,D07,X25",true
HCP,7340201_1,Tài chính chất lượng cao,100,DGTD,K00,true
HCP,7340201_1,Tài chính chất lượng cao,100,DGTD,Q00,true
HCP,7340301_2,Kế toán (Định hướng ACCA),50,DGNL_HN,,true
HCP,7340301_2,Kế toán (Định hướng ACCA),50,THPT,"A00,A01,D01,D07",true
HCP,7340301_2,Kế toán (Định hướng ACCA),50,HBA,"A00,A01,D01,D07",true
HCP,7340301_2,Kế toán (Định hướng ACCA),50,DGTD,"A00,A01,D01,D07",true
HCP,7340301_2,Kế toán (Định hướng ACCA),50,DGTD,K00,true
HCP,7340301_2,Kế toán (Định hướng ACCA),50,DGTD,Q00,true
HCP,7460108,Khoa học dữ liệu,100,DGNL_HN,,true
HCP,7460108,Khoa học dữ liệu,100,THPT,"A00,A01,D01,D07",true
HCP,7460108,Khoa học dữ liệu,100,HBA,"A00,A01,D01,D07",true
HCP,7460108,Khoa học dữ liệu,100,DGTD,"A00,A01,D01,D07",true
HCP,7460108,Khoa học dữ liệu,100,DGTD,K00,true
HCP,7460108,Khoa học dữ liệu,100,DGTD,Q00,true
HCP,7220201,Tiếng Anh trong Kinh tế và kinh doanh,100,DGNL_HN,,true
HCP,7220201,Tiếng Anh trong Kinh tế và kinh doanh,100,THPT,"A01,D01,D07,D09",true
HCP,7220201,Tiếng Anh trong Kinh tế và kinh doanh,100,HBA,"A01,D01,D07,D09",true
HCP,7220201,Tiếng Anh trong Kinh tế và kinh doanh,100,DGTD,"A01,D01,D07,D09",true
HCP,7220201,Tiếng Anh trong Kinh tế và kinh doanh,100,DGTD,K00,true
HCP,7220201,Tiếng Anh trong Kinh tế và kinh doanh,100,DGTD,Q00,true
HCP,7310101,Kinh tế nguồn nhân lực,100,DGNL_HN,,true
HCP,7310101,Kinh tế nguồn nhân lực,100,THPT,"A01,D01,D07,X25",true
HCP,7310101,Kinh tế nguồn nhân lực,100,HBA,"A01,D01,D07,X25",true
HCP,7310101,Kinh tế nguồn nhân lực,100,DGTD,"A01,D01,D07,X25",true
HCP,7310101,Kinh tế nguồn nhân lực,100,DGTD,K00,true
HCP,7310101,Kinh tế nguồn nhân lực,100,DGTD,Q00,true
HCP,7310104,Kinh tế đầu tư,150,DGNL_HN,,true
HCP,7310104,Kinh tế đầu tư,150,THPT,"A01,D01,D07,X25",true
HCP,7310104,Kinh tế đầu tư,150,HBA,"A01,D01,D07,X25",true
HCP,7310104,Kinh tế đầu tư,150,DGTD,"A01,D01,D07,X25",true
HCP,7310104,Kinh tế đầu tư,150,DGTD,K00,true
HCP,7310104,Kinh tế đầu tư,150,DGTD,Q00,true
HCP,7310105,Kinh tế phát triển,150,DGNL_HN,,true
HCP,7310105,Kinh tế phát triển,150,THPT,"A00,A01,D01,D07",true
HCP,7310105,Kinh tế phát triển,150,HBA,"A00,A01,D01,D07",true
HCP,7310105,Kinh tế phát triển,150,DGTD,"A00,A01,D01,D07",true
HCP,7310105,Kinh tế phát triển,150,DGTD,K00,true
