source_url,page_title,year,table_wp_id,table_dom_id,table_name,institution,institution_url,logo_url,wdt_id,school_type,institution_type,region,province,major_group,national_rank,recognized_quality_rank,teaching_rank,publications_rank,science_tech_innovation_rank,learner_quality_rank,facilities_rank,total_score
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Đại học Phenikaa,https://vnur.vn/truong-dai-hoc-phenikaa/,https://vnur.vn/wp-content/uploads/2023/01/43.Phenikaa.jpg,45,Tư thục,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Đa Ngành,57,34,136,17,4,92,22,49.88
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Thủ Dầu Một,https://vnur.vn/truong-dai-hoc-thu-dau-mot/,https://vnur.vn/wp-content/uploads/2023/01/15.Thu-Dau-Mot.png,32,Công lập,Trường Đại học,Đông Nam Bộ,Thành phố Hồ Chí Minh,Đa Ngành,58,30,75,26,57,93,150,49.72
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Học viện Hàng không Việt Nam,https://vnur.vn/hoc-vien-hang-khong-viet-nam-2/,https://vaa.edu.vn/wp-content/uploads/2024/07/Group-1000005875.svg,82,Công lập,Học viện,Đông Nam Bộ,Thành phố Hồ Chí Minh,"Kỹ thuật, Công nghệ",59,62,68,95,95,7,105,49.48
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Thăng Long,https://vnur.vn/truong-dai-hoc-thang-long/,https://vnur.vn/wp-content/uploads/2023/01/54.Thang-Long.jpg,41,Tư thục,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Đa Ngành,60,62,25,62,151,84,171,49.25
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Học viện Quản lý Giáo dục,https://vnur.vn/hoc-vien-quan-ly-giao-duc/,https://upload.wikimedia.org/wikipedia/vi/f/fa/Hoc_vien_QuanLyGiaoDuc.jpg,66,Công lập,Học viện,Đồng bằng Sông Hồng,Thành phố Hà Nội,Sư phạm,61,62,47,119,90,36,125,49.03
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Tân Trào,https://vnur.vn/truong-dai-hoc-tan-trao/,https://vnur.vn/wp-content/uploads/2026/01/DH-Tan-Trao.jpeg,103,Công lập,Trường Đại học,Trung du và miền núi phía Bắc,Tuyên Quang,Đa Ngành,62,62,42,102,64,110,95,48.99
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Thủ đô Hà Nội,https://vnur.vn/truong-dai-hoc-thu-do-ha-noi/,https://vnur.vn/wp-content/uploads/2023/01/29.Thu-do-Ha-Noi.jpg,56,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Sư phạm,63,62,57,118,85,51,32,48.85
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Kiểm sát Hà Nội,https://vnur.vn/truong-dai-hoc-kiem-sat-ha-noi/,https://giaoduc247.vn/uploads/082021/images/%C4%91a%CC%A3i%20ho%CC%A3c%20kiem%20sat%20ha%20noi.png,93,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Pháp luật,64,62,63,148,90,43,42,48.11
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Học viện Y Dược học cổ truyền Việt Nam,https://vnur.vn/hoc-vien-y-duoc-hoc-co-truyen-viet-nam/,https://upload.wikimedia.org/wikipedia/commons/7/72/H%E1%BB%8Dc_vi%E1%BB%87n_Y_d%C6%B0%E1%BB%A3c_h%E1%BB%8Dc_c%E1%BB%95_truy%E1%BB%81n_Vi%E1%BB%87t_Nam.jpg,64,Công lập,Học viện,Đồng bằng Sông Hồng,Thành phố Hà Nội,Sức khỏe,65,62,51,155,116,21,176,47.88
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Lao động - Xã hội,https://vnur.vn/truong-dai-hoc-lao-dong-xa-hoi/,https://vnur.vn/wp-content/uploads/2023/01/52.lao-dong-Xa-hoi.png,48,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hà Nội,Đa Ngành,66,62,33,88,61,124,147,47.84
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Đà Lạt,https://vnur.vn/truong-dai-hoc-da-lat/,https://vnur.vn/wp-content/uploads/2023/01/38.Da-Lat.jpg,68,Công lập,Trường Đại học,Duyên hải Nam Trung Bộ và Tây Nguyên,Lâm Đồng,Đa Ngành,67,62,49,70,32,100,163,47.83
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Học viện Phụ nữ Việt Nam,https://vnur.vn/hoc-vien-phu-nu-viet-nam/,https://vnur.vn/wp-content/uploads/2023/01/90.Hoc-vien-Phu-nu.png,52,Công lập,Học viện,Đồng bằng Sông Hồng,Thành phố Hà Nội,Hành chính,68,62,40,166,84,95,136,47.80
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Trà Vinh,https://vnur.vn/truong-dai-hoc-tra-vinh/,https://vnur.vn/wp-content/uploads/2026/01/DH-Tra-Vinh.jpeg,104,Công lập,Trường Đại học,Đồng bằng Sông Cửu Long,Vĩnh Long,Đa Ngành,69,51,66,57,36,146,91,47.62
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Kỹ thuật y tế Hải Dương,https://vnur.vn/truong-dai-hoc-ky-thuat-y-te-hai-duong-2/,https://vnur.vn/wp-content/uploads/2026/01/Ky-thuat-Y-te-Hai-Duong-1.jpg,105,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Thành phố Hải Phòng,Sức khỏe,70,62,71,127,139,35,32,47.49
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Học viện Chính sách và Phát triển,https://vnur.vn/hoc-vien-chinh-sach-va-phat-trien/,https://vnur.vn/wp-content/uploads/2023/01/39.Hoc-vien-Chinh-sach-Phat-trien.jpg,69,Công lập,Học viện,Đồng bằng Sông Hồng,Thành phố Hà Nội,Hành chính,71,62,84,138,135,12,119,46.81
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Y Dược Thái Bình,https://vnur.vn/truong-dai-hoc-y-duoc-thai-binh/,https://vnur.vn/wp-content/uploads/2023/01/45.Y-Thai-Binh.jpg,80,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Hưng Yên,Sức khỏe,72,62,69,45,83,98,153,46.55
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Kỹ thuật - Công nghệ Cần Thơ,https://vnur.vn/truong-dai-hoc-ky-thuat-cong-nghe-can-tho/,https://vnur.vn/wp-content/uploads/2023/01/77.Ky-thuat-Cong-nghe-Can-Tho.png,83,Công lập,Trường Đại học,Đồng bằng sông Cửu Long,Thành phố Cần Thơ,Kỹ thuật,73,62,53,103,151,57,185,46.43
https://vnur.vn/,VNUR.VN - Bảng xếp hạng Đại học Việt Nam,2026,61,table_1,BẢNG XẾP HẠNG TOP 100 TRƯỜNG ĐẠI HỌC VIỆT NAM NĂM 2026,Trường Đại học Sư phạm Kỹ thuật Hưng Yên,https://vnur.vn/truong-dai-hoc-su-pham-ky-thuat-hung-yen/,https://vnur.vn/wp-content/uploads/2023/01/23.Su-pham-Ky-thuat-Hung-Yen.png,60,Công lập,Trường Đại học,Đồng bằng Sông Hồng,Hưng Yên,"Kỹ thuật, Công nghệ",74,48,76,58,65,121,115,46.15
