id,universityshortname,universitytype,universityprovince,majorcode,internalcode,internalname,fields,isactive
0f152269-b604-49a7-8510-4b8bd10b179c,HVN,cônglập,HN,HVN17,,,,True
2c2cd921-65e1-4245-ab6a-0abaa4bdc063,HVN,cônglập,HN,HVN18,,,,True
98757e21-67d4-4b93-9744-140f2a1ace15,HVN,cônglập,HN,HVN19,,,,True
76c48547-d12f-49fa-8c60-0f5392ef20be,PKH,quânsự,HN,7520120,,,,True
9910eec9-5988-4981-8825-85b37e5d2603,PKH,quânsự,HN,7860226,,,,True
48563e8c-6ef8-461a-a6de-d8301e2989d3,PKH,quânsự,HN,7860226B,,,,True
2628d27a-de5f-4cbd-b689-0c0a7c78be4b,PKH,quânsự,HN,7860226N,,,,True
9690b0de-ad03-4856-94c7-196a31a629b4,HPN,cônglập,HN,7310101,,,,True
94aa982e-8f86-4303-85e4-f1f50faf40d6,HPN,cônglập,HN,7310109,,,,True
fc9da0b5-f1ef-4d6d-93fd-a63ba267f6c3,HPN,cônglập,HN,7310399,,,,True
25638663-ba2c-42ce-89a9-547748e1a81e,HPN,cônglập,HN,7310401,,,,True
3bbcfad3-20f3-44e3-bd26-9e453f1963fa,HPN,cônglập,HN,7320104,,,,True
58d32dc5-210a-4d61-b657-36205dd66ef9,HPN,cônglập,HN,7340101,,,,True
8dd56eee-b50a-48ad-8cba-c96dc3926de6,HPN,cônglập,HN,7340115,,,,True
16407f4b-6d87-4cd1-b128-421a4091eae6,HPN,cônglập,HN,7380101,,,,True
9146221f-7d3a-4c1e-8002-b2ca7401f5f1,HPN,cônglập,HN,7380107,,,,True
38b0e524-f772-4856-af0e-c1a3b153d3af,HPN,cônglập,HN,7480201,,,,True
1d2aca77-3dee-4e32-8c73-e8f2c6d1ef00,HPN,cônglập,HN,7760101,,,,True
bbc4d824-3f23-47d9-a753-6786f39db789,HPN,cônglập,HN,7810103,,,,True
f22de479-3a59-4243-83dd-18bf5af6e4dd,HPN,cônglập,HN,7340101TA,,,,True
4cfad9df-60ed-45ec-b288-387fa1044a91,HPN,cônglập,HN,7340101 LC,,,,True
f242fc9e-7fee-486a-86b2-83c0c0e16a52,HPN,cônglập,HN,7340101CLC,,,,True
e9b9cd61-0fa3-445b-a40d-5e5affea05f6,HPN,cônglập,HN,7340101LK,,,,True
8971ff66-0239-4cc9-b3ef-086f9ee23b53,HPN,cônglập,HN,7760101PH,HCM,,,True
c5771499-f4e0-4f18-8492-68f5191c8d32,HPN,cônglập,HN,7810103PH,HCM,,,True
2f38dd7d-f0f0-4b36-a893-69582b04cf73,HPN,cônglập,HN,7760101PH,,,,True
9bba6198-a7d9-4671-8b61-cd239574fb91,HPN,cônglập,HN,7810103PH,,,,True
8d31e98f-bdd8-492d-8bff-aec6c2d216fa,HPN,cônglập,HN,7340102,,,,True
475e65e7-fc03-44f1-bac5-ea6e34a57c12,HPN,cônglập,HN,7420201,,,,True
8d52897a-b959-44b0-a948-a643b9621aac,HTN,cônglập,HN,7310101,,,,True
0a87f15a-6dbf-49ff-b118-a718bd2eeedc,HTN,cônglập,HN,7310202,,,,True
37f81e0a-a57d-4e6c-b435-b30bb406614e,HTN,cônglập,HN,7310205,,,,True
4b181671-cdb8-4453-86a6-4a761284ae53,HTN,cônglập,HN,7310401,,,,True
5534dbd3-9cda-407b-9634-1b252e2b8d04,HTN,cônglập,HN,7320108,,,,True
c327b741-fb2c-4cfa-811e-d6f013d66146,HTN,cônglập,HN,7380101,,,,True
23164a79-e109-456d-ae7f-ad6d15e054e6,HTN,cônglập,HN,7480201,,,,True
d7ba0d07-28eb-48de-9991-7db0217692ec,HTN,cônglập,HN,7760101,,,,True
c2b68d1f-f7bc-4dd7-9d7f-9cbda9cbc102,HTN,cônglập,HN,7760102,,,,True
f116b816-04cf-451f-992c-b96c41d1079d,YQH,quânsự,HN,7720101,,,,True
31502cfe-4bac-4752-9485-3e48eb5f509d,YQH,quânsự,HN,7720201,,,,True
cf0a581a-ec62-4991-b72c-6ac20a67d105,YQH,quânsự,HN,7720101NamB,,,,True
7552354f-d59b-4efe-a380-417c2119b529,YQH,quânsự,HN,7720101NamN,,,,True
932e743c-a65d-4b04-a7f4-e8dfaf955435,YQH,quânsự,HN,7720101NuB,,,,True
8b65282d-7cce-4745-be18-a0ed3b91d552,YQH,quânsự,HN,7720101NuN,,,,True
461816b0-0f91-48b3-94f2-b3e3b67b31de,YQH,quânsự,HN,7720110NamB,,,,True
a9f7e6e2-46c9-4435-be09-89d2eaad9f01,YQH,quânsự,HN,7720110NamN,,,,True
504fd90f-3cd5-428a-854a-5c3ede707615,YQH,quânsự,HN,7720201NamB,,,,True
019bf10b-e946-4294-a911-57b0297abf5e,YQH,quânsự,HN,7720201NamN,,,,True
8d45cf41-4534-42d6-bc23-95e051989d85,YQH,quânsự,HN,7720201NuB,,,,True
bf86889a-cfef-4dc9-9ca2-bde3ca207668,YQH,quânsự,HN,7720201NuN,,,,True
76c4ad83-d661-4605-a62d-93294beffa0a,YQH,quânsự,HN,7720110,,,,True
8ca2e832-31f1-4d09-8f44-bfa5f08c6362,HTC,cônglập,HN,7220201,,,,True
60904410-b091-4da6-ad3e-01b36282dd98,HTC,cônglập,HN,7310101,,,,True
648400c4-d35e-4b94-865d-9c6f2849831b,HTC,cônglập,HN,7310102,,,,True
17f4e87d-7c49-4387-bf07-2b07dff40041,HTC,cônglập,HN,7310104,,,,True
4ac522fb-18e4-4df1-ae8a-144170d2ad51,HTC,cônglập,HN,7310104QT12.01,,,,True
