university_program_id,subject_group_code
5b9b63bc-4fa9-55ce-94c8-f5d79a6ade57,R21
5b9b63bc-4fa9-55ce-94c8-f5d79a6ade57,R18
1962a0de-2b8a-5234-be36-211054c6b9b0,R16
1962a0de-2b8a-5234-be36-211054c6b9b0,R05
1962a0de-2b8a-5234-be36-211054c6b9b0,R06
1962a0de-2b8a-5234-be36-211054c6b9b0,R15
1962a0de-2b8a-5234-be36-211054c6b9b0,R19
26012650-8bc1-5bb4-8cd4-b208d745a50d,R05
26012650-8bc1-5bb4-8cd4-b208d745a50d,R06
26012650-8bc1-5bb4-8cd4-b208d745a50d,R15
26012650-8bc1-5bb4-8cd4-b208d745a50d,R19
26012650-8bc1-5bb4-8cd4-b208d745a50d,R16
a9b2277b-9d4e-582a-86c4-4b1f7ce73c55,R05
a9b2277b-9d4e-582a-86c4-4b1f7ce73c55,R06
a9b2277b-9d4e-582a-86c4-4b1f7ce73c55,R15
a9b2277b-9d4e-582a-86c4-4b1f7ce73c55,R19
a9b2277b-9d4e-582a-86c4-4b1f7ce73c55,R16
f716582e-7b11-5874-91d1-6dc049688c53,D01
f716582e-7b11-5874-91d1-6dc049688c53,R24
f716582e-7b11-5874-91d1-6dc049688c53,D72
f716582e-7b11-5874-91d1-6dc049688c53,R25
f716582e-7b11-5874-91d1-6dc049688c53,D78
f716582e-7b11-5874-91d1-6dc049688c53,R26
b4e1aa0e-890b-5f81-9c8b-e0feb4b35f88,D72
b4e1aa0e-890b-5f81-9c8b-e0feb4b35f88,R25
b4e1aa0e-890b-5f81-9c8b-e0feb4b35f88,D78
b4e1aa0e-890b-5f81-9c8b-e0feb4b35f88,R26
b4e1aa0e-890b-5f81-9c8b-e0feb4b35f88,D01
b4e1aa0e-890b-5f81-9c8b-e0feb4b35f88,R24
42348794-013b-581d-8380-5681ed242e80,D01
42348794-013b-581d-8380-5681ed242e80,R24
42348794-013b-581d-8380-5681ed242e80,D72
42348794-013b-581d-8380-5681ed242e80,R25
42348794-013b-581d-8380-5681ed242e80,D78
42348794-013b-581d-8380-5681ed242e80,R26
9c8b977e-b22a-535a-a39a-e31722783b64,D01
9c8b977e-b22a-535a-a39a-e31722783b64,R24
9c8b977e-b22a-535a-a39a-e31722783b64,D72
9c8b977e-b22a-535a-a39a-e31722783b64,R25
9c8b977e-b22a-535a-a39a-e31722783b64,D78
9c8b977e-b22a-535a-a39a-e31722783b64,R26
27fb7aad-d15c-5a55-aa7a-57b7d76797fc,D72
27fb7aad-d15c-5a55-aa7a-57b7d76797fc,R25
27fb7aad-d15c-5a55-aa7a-57b7d76797fc,D78
27fb7aad-d15c-5a55-aa7a-57b7d76797fc,R26
27fb7aad-d15c-5a55-aa7a-57b7d76797fc,D01
27fb7aad-d15c-5a55-aa7a-57b7d76797fc,R24
43483b76-9c5b-5ec6-8344-266bad248d6b,D01
43483b76-9c5b-5ec6-8344-266bad248d6b,R24
43483b76-9c5b-5ec6-8344-266bad248d6b,D72
43483b76-9c5b-5ec6-8344-266bad248d6b,R25
43483b76-9c5b-5ec6-8344-266bad248d6b,D78
43483b76-9c5b-5ec6-8344-266bad248d6b,R26
2f8da6e8-f435-58e3-9799-3416597552f8,A16
2f8da6e8-f435-58e3-9799-3416597552f8,C15
2f8da6e8-f435-58e3-9799-3416597552f8,D01
2f8da6e8-f435-58e3-9799-3416597552f8,R22
9427d170-0cf2-58ee-8024-228096977c31,A16
9427d170-0cf2-58ee-8024-228096977c31,C15
9427d170-0cf2-58ee-8024-228096977c31,D01
9427d170-0cf2-58ee-8024-228096977c31,R22
4cde5142-ecdd-5a6c-81f8-1d193c23f1ac,C19
4cde5142-ecdd-5a6c-81f8-1d193c23f1ac,C00
4cde5142-ecdd-5a6c-81f8-1d193c23f1ac,C03
4cde5142-ecdd-5a6c-81f8-1d193c23f1ac,D14
ed198a24-7be8-575b-84d0-c41ed568bd50,A16
ed198a24-7be8-575b-84d0-c41ed568bd50,C15
ed198a24-7be8-575b-84d0-c41ed568bd50,D01
ed198a24-7be8-575b-84d0-c41ed568bd50,R22
a4140851-0f06-58e2-9615-963a4a05b073,A16
a4140851-0f06-58e2-9615-963a4a05b073,C15
a4140851-0f06-58e2-9615-963a4a05b073,D01
a4140851-0f06-58e2-9615-963a4a05b073,R22
3519a5c4-cec9-592e-8695-7fa83d4c1718,A16
3519a5c4-cec9-592e-8695-7fa83d4c1718,C15
3519a5c4-cec9-592e-8695-7fa83d4c1718,D01
3519a5c4-cec9-592e-8695-7fa83d4c1718,R22
49884a9a-8626-584b-a9b6-c1721f080047,A16
49884a9a-8626-584b-a9b6-c1721f080047,C15
49884a9a-8626-584b-a9b6-c1721f080047,D01
49884a9a-8626-584b-a9b6-c1721f080047,R22
3afb6535-c0c8-51c5-bec2-bfd99e0186d3,D01
3afb6535-c0c8-51c5-bec2-bfd99e0186d3,R24
3afb6535-c0c8-51c5-bec2-bfd99e0186d3,D72
3afb6535-c0c8-51c5-bec2-bfd99e0186d3,R25
