id,university_short_name,major_code,program_source_code,program_name,source,source_school_id,is_active
42f52399-7de8-5585-bf51-df831b40f043,BKA,EM5y,EM5y,Tài chính - Ngân hàng,tuyensinh247,302,true
63739aee-ed6c-50fe-844f-df91a0a05f1e,BKA,ET-E16,ET-E16,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),tuyensinh247,302,true
be4c3071-81cf-5955-871c-a0e60a15e7d3,BKA,ET-E16x,ET-E16x,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),tuyensinh247,302,true
7656fbce-5a55-5d1f-924e-690e15d80024,BKA,ET-E16y,ET-E16y,Truyền thông số và Kỹ thuật đa phương tiện (CT tiên tiến),tuyensinh247,302,true
c6fd3f45-48b7-5428-9382-4d8da34d3311,BKA,ET-E4,ET-E4,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),tuyensinh247,302,true
c2cfcd82-2c10-56ee-8515-eba59e616cc0,BKA,ET-E4x,ET-E4x,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),tuyensinh247,302,true
eed3cc14-8cd8-51df-a932-5db1c6b2e96f,BKA,ET-E4y,ET-E4y,Kỹ thuật Điện tử - Viễn thông (CT tiên tiến),tuyensinh247,302,true
1122c5ae-124b-55e3-8044-3aab4f1cab29,BKA,ET-E5,ET-E5,Kỹ thuật Y sinh (CT tiên tiến),tuyensinh247,302,true
cf0e5f19-7129-5b78-8ee8-dfd0f0ebd9fd,BKA,ET-E5x,ET-E5x,Kỹ thuật Y sinh (CT tiên tiến),tuyensinh247,302,true
a6c22b68-bc0b-553e-a743-caaa0d0a3c04,BKA,ET-E5y,ET-E5y,Kỹ thuật Y sinh (CT tiên tiến),tuyensinh247,302,true
34c9c0b5-319a-5c6d-8343-7f072bea0c6f,BKA,ET-E9,ET-E9,Hệ thống nhúng thông minh và IoT (CT tiên tiến),tuyensinh247,302,true
bcbf17fc-1073-55f7-929d-368e507f7dc4,BKA,ET-E9x,ET-E9x,Hệ thống nhúng thông minh và IoT (CT tiên tiến),tuyensinh247,302,true
7adc0808-8b54-5ae0-b11e-225c9a89f6e5,BKA,ET-E9y,ET-E9y,Hệ thống nhúng thông minh và IoT (CT tiên tiến),tuyensinh247,302,true
9c3d32ba-5ef5-59e3-9abf-8209e44b06de,BKA,ET-LUH,ET-LUH,Điện tử - Viễn thông - ĐH Leibniz Hannover (CHLB Đức),tuyensinh247,302,true
b38235a8-c677-5db9-903f-a569e20de62e,BKA,ET-LUHX,ET-LUHX,Điện tử - Viễn thông - hợp tác với ĐH Leibniz Hannover (Đức),tuyensinh247,302,true
4b56aeb4-a5ce-5575-88c3-c7333bdf3006,BKA,ET-LUHY,ET-LUHY,Điện tử - Viễn thông - hợp tác với ĐH Leibniz Hannover (Đức),tuyensinh247,302,true
cc6b4ceb-9396-5344-88aa-45536abb8a92,BKA,ET1,ET1,Kỹ thuật Điện tử - Viễn thông,tuyensinh247,302,true
96dfd6f0-4cea-51be-a80a-4637fae88ffe,BKA,ET1x,ET1x,Kỹ thuật Điện tử - Viễn thông,tuyensinh247,302,true
c542680a-2038-57ec-ad4f-babfe2faab15,BKA,ET1y,ET1y,Kỹ thuật Điện tử - Viễn thông,tuyensinh247,302,true
7d4ae544-b6ac-5774-be81-67385cadd8c6,BKA,ET2,ET2,Kỹ thuật Y sinh,tuyensinh247,302,true
610d6f08-08ab-5426-b572-8a20d6c6bb95,BKA,ET2x,ET2x,Kỹ thuật Y sinh (mới),tuyensinh247,302,true
1e92f4e6-425e-5047-baa0-f72bb055c570,BKA,ET2y,ET2y,Kỹ thuật Y sinh (mới),tuyensinh247,302,true
