major_code,subject_group_code
BANK02,Q00
BANK03,Q00
BANK04,Q00
BANK05,Q00
BANK06,Q00
BANK07,Q00
BUS01,Q00
BUS02,Q00
BUS03,Q00
BUS04,Q00
BUS05,Q00
BUS06,Q00
BUS07,Q00
DS01,Q00
ECON01,Q00
ECON02,Q00
FIN01,Q00
FIN02,Q00
FIN03,Q00
FIN04,Q00
FL01,Q00
FL02,Q00
IB01,Q00
IB02,Q00
IB03,Q00
IB04,Q00
IB05,Q00
IT01,Q00
LAW01,Q00
MIS01,Q00
MIS02,Q00
7520120,A00
7520120,A01
7860226,A00
7860226,A01
7520120,C01
7860226,C01
7310101,C00
7310301,A00
7310301,C00
7310399,A00
7310399,A01
7310399,C00
7310399,D01
7310401,A00
7310401,A01
7310401,C00
7310401,D01
7340101,C00
7380101,A00
7380101,A01
7480201,C00
7480201,D09
7760101,A00
7760101,C00
7810103,A00
7810103,A01
7810103,C00
7810103,D01
7320104,C00
7420201,A00
7420201,A01
7420201,D01
7420201,D09
7310109,C00
7310101,X25
7310109,D09
7310109,X25
7310399,D14
7310399,D15
7310401,B03
7310401,B08
7340115,C00
7380101,D14
7380101,D15
7760101,D14
7760101,D15
7340102,C00
7720110,B00
7720201,A00
7720101,D07
7720201,D07
7720101,Q00
7720201,Q00
7340302,A01
7340302,D01
7340302,D07
7310102,A00
7310102,D07
7310104,A00
7310104,A01
7310104,D01
7310104,D07
7310108,A00
7310108,A01
7310108,D01
7310108,D07
7340116,A00
7340116,A01
7340116,D01
7340116,D07
7340204,A00
7340204,A01
7340204,D01
7340204,D07
7340302,A00
7340403,A00
7340403,D07
7380101,D07
7460108,A00
7460108,A01
7460108,D01
7460108,D07
7140114,A00
7140114,A01
7140114,C00
7140114,D01
7310101,D10
7310403,A00
7310403,B00
7310403,C00
7310403,D01
7140101,A00
7140101,B00
7140101,C00
7140101,D01
7140101,X70
7140101,X74
7140114,X70
7140114,X74
7220201,X25
7310101,X26
7310403,X70
7310403,X74
7340406,A00
7340406,A01
7340406,C00
7340406,D01
7340406,X70
7340406,X74
7480201,D10
7310202,A09
7310202,C00
7310202,C20
7310205,A09
7310205,C20
7310401,A09
7310401,C20
7320108,C00
7320108,C20
7320108,D01
7320108,D66
7380101,A09
7380101,C20
7760101,A09
7760101,C20
7760102,A09
7760102,C00
7760102,C20
7760102,D01
7320108,D15
7310101,X21
7310202,X74
7310401,X21
7310401,X74
7320108,X74
7380101,X21
7380101,X74
7480201,X21
7760101,X21
7760101,X74
7760102,X21
7760102,X70
7760102,X74
7310202,X21
7310205,X21
7310205,X74
GD1,A00
GD1,A01
GD1,B00
GD1,D01
GD2,C00
GD2,D01
GD2,D14
GD2,D15
GD3,A00
GD3,B00
GD3,C00
GD3,D01
GD4,A00
GD4,B00
GD4,C00
GD4,D01
GD5,A00
GD5,B00
GD5,C00
GD5,D01
CN1,A00
CN1,A01
CN10,A00
CN10,A01
CN10,A02
CN10,B00
CN11,A00
CN11,A01
CN2,A00
CN2,A01
CN3,A00
CN3,A01
CN4,A00
CN4,A01
CN5,A00
CN5,A01
CN6,A00
CN6,A01
CN7,A00
CN7,A01
CN8,A00
CN8,A01
CN9,A00
CN9,A01
CN1,D01
CN10,D01
CN11,D01
CN12,A00
CN12,A01
CN12,D01
CN13,A00
CN13,A01
CN13,D01
CN14,A00
CN14,A01
CN14,D01
CN15,A00
CN15,A01
CN15,D01
CN16,A00
CN16,A01
CN16,D01
CN17,A00
CN17,A01
CN17,D01
CN2,D01
CN3,D01
CN4,D01
CN5,D01
CN6,D01
CN7,D01
CN8,D01
CN9,D01
CN18,A00
CN18,A01
CN18,D01
CN1,X06
CN1,X26
CN10,X06
CN10,X26
CN11,X06
CN11,X26
CN12,X06
CN12,X26
CN13,X06
CN13,X26
CN14,X06
CN14,X26
CN15,X06
CN15,X26
CN17,X06
CN17,X26
CN18,X06
CN18,X26
CN19,A00
CN19,A01
CN19,D01
CN19,X06
CN19,X26
CN2,X06
CN2,X26
CN20,A00
CN20,A01
CN20,D01
CN20,X06
CN20,X26
CN21,A00
CN21,A01
CN21,B00
CN21,D01
CN21,X06
CN21,X26
CN3,X06
CN3,X26
CN4,X06
CN4,X26
CN5,X06
CN5,X26
CN6,X06
CN6,X26
CN7,X06
CN7,X26
CN8,X06
CN8,X26
CN9,X06
CN9,X26
OHX07,D04
OHX07,D06
OHX09,D78
OHX21,D04
OHX21,D06
QHX01,A01
QHX01,C00
QHX01,D01
QHX01,D04
QHX01,D06
QHX01,D78
QHX01,D83
QHX02,D78
QHX02,D83
QHX02,A01
QHX02,C00
QHX02,D01
QHX02,D04
QHX02,D06
QHX03,A01
QHX03,C00
QHX03,D01
QHX03,D04
QHX03,D06
QHX03,D78
QHX03,D83
QHX04,A01
QHX04,D01
QHX04,D78
QHX05,C00
QHX05,D01
QHX05,D04
QHX05,D06
QHX05,D78
QHX05,D83
QHX06,D83
QHX06,C00
QHX06,D01
QHX06,D04
QHX06,D06
QHX06,D78
QHX07,A01
QHX07,C00
QHX07,D01
QHX07,D78
QHX07,D83
QHX08,C00
QHX08,D01
QHX08,D04
QHX08,D06
QHX08,D78
QHX08,D83
QHX09,C00
QHX09,D01
QHX09,D04
QHX09,D06
QHX09,D83
QHX09,A01
QHX10,C00
QHX10,D01
QHX10,D04
QHX10,D06
QHX10,D78
QHX10,D83
QHX11,A01
QHX11,C00
QHX11,D01
QHX11,D04
QHX11,D06
QHX11,D78
QHX11,D83
QHX12,D01
QHX12,D04
QHX12,D06
QHX12,D78
QHX13,D04
QHX13,D06
QHX13,D78
QHX13,D83
QHX13,C00
