admission_option_id,subject_group_code
445ca92a-7274-5f34-843c-86c200c88c42,D01
ce956198-73f4-550e-9f5f-0be67b891190,A00
ce956198-73f4-550e-9f5f-0be67b891190,A01
ce956198-73f4-550e-9f5f-0be67b891190,C01
ce956198-73f4-550e-9f5f-0be67b891190,D07
ce956198-73f4-550e-9f5f-0be67b891190,X06
ce956198-73f4-550e-9f5f-0be67b891190,X26
c111d2d4-eb6c-5502-8658-4e9ed52e70ac,K00
c111d2d4-eb6c-5502-8658-4e9ed52e70ac,Q00
922c1bb5-f556-5e15-9b8f-1d729aae41f0,A00
922c1bb5-f556-5e15-9b8f-1d729aae41f0,A01
922c1bb5-f556-5e15-9b8f-1d729aae41f0,C01
922c1bb5-f556-5e15-9b8f-1d729aae41f0,D07
922c1bb5-f556-5e15-9b8f-1d729aae41f0,X06
922c1bb5-f556-5e15-9b8f-1d729aae41f0,X26
e47ef915-8f84-567a-8191-3fdc6bd6fd76,K00
e47ef915-8f84-567a-8191-3fdc6bd6fd76,Q00
2b49a228-8441-57cc-9e29-982b200dd5e5,A00
2b49a228-8441-57cc-9e29-982b200dd5e5,A01
2b49a228-8441-57cc-9e29-982b200dd5e5,D01
2b49a228-8441-57cc-9e29-982b200dd5e5,D07
d257b7ed-9e83-553e-b772-c6cdb3e0281c,Q00
79dcc14b-697f-5675-8503-eb9a300b997a,A00
79dcc14b-697f-5675-8503-eb9a300b997a,A01
9ade14d7-7af7-5a60-a6ca-f06cb787a40f,C03
9ade14d7-7af7-5a60-a6ca-f06cb787a40f,D01
9ade14d7-7af7-5a60-a6ca-f06cb787a40f,D07
9ade14d7-7af7-5a60-a6ca-f06cb787a40f,X02
9ade14d7-7af7-5a60-a6ca-f06cb787a40f,X18
9ade14d7-7af7-5a60-a6ca-f06cb787a40f,X22
9ade14d7-7af7-5a60-a6ca-f06cb787a40f,X25
9ade14d7-7af7-5a60-a6ca-f06cb787a40f,X53
acb2cb48-f4a4-5f34-bc0e-29dcd0478d75,C03
acb2cb48-f4a4-5f34-bc0e-29dcd0478d75,D01
acb2cb48-f4a4-5f34-bc0e-29dcd0478d75,D07
acb2cb48-f4a4-5f34-bc0e-29dcd0478d75,X02
acb2cb48-f4a4-5f34-bc0e-29dcd0478d75,X18
acb2cb48-f4a4-5f34-bc0e-29dcd0478d75,X22
acb2cb48-f4a4-5f34-bc0e-29dcd0478d75,X25
acb2cb48-f4a4-5f34-bc0e-29dcd0478d75,X53
cf6c207d-2ab5-5b04-baa9-fbc4e66a9755,A00
cf6c207d-2ab5-5b04-baa9-fbc4e66a9755,A01
cf6c207d-2ab5-5b04-baa9-fbc4e66a9755,C01
cf6c207d-2ab5-5b04-baa9-fbc4e66a9755,C02
cf6c207d-2ab5-5b04-baa9-fbc4e66a9755,D01
cf6c207d-2ab5-5b04-baa9-fbc4e66a9755,D07
cf6c207d-2ab5-5b04-baa9-fbc4e66a9755,X02
cf6c207d-2ab5-5b04-baa9-fbc4e66a9755,X03
cf6c207d-2ab5-5b04-baa9-fbc4e66a9755,X26
cf6c207d-2ab5-5b04-baa9-fbc4e66a9755,X27
ac39280a-bd54-5f24-a417-3de9c526a334,K00
ac39280a-bd54-5f24-a417-3de9c526a334,Q00
01ca0585-ebad-5872-8291-4deb3e461ce7,A00
01ca0585-ebad-5872-8291-4deb3e461ce7,A01
01ca0585-ebad-5872-8291-4deb3e461ce7,C01
01ca0585-ebad-5872-8291-4deb3e461ce7,C02
01ca0585-ebad-5872-8291-4deb3e461ce7,D01
01ca0585-ebad-5872-8291-4deb3e461ce7,D07
01ca0585-ebad-5872-8291-4deb3e461ce7,X02
01ca0585-ebad-5872-8291-4deb3e461ce7,X03
01ca0585-ebad-5872-8291-4deb3e461ce7,X26
01ca0585-ebad-5872-8291-4deb3e461ce7,X27
a4965609-beee-5cb2-a88c-bc212118838d,A00
a4965609-beee-5cb2-a88c-bc212118838d,A01
a4965609-beee-5cb2-a88c-bc212118838d,C01
a4965609-beee-5cb2-a88c-bc212118838d,C02
a4965609-beee-5cb2-a88c-bc212118838d,D01
a4965609-beee-5cb2-a88c-bc212118838d,D07
a4965609-beee-5cb2-a88c-bc212118838d,X02
a4965609-beee-5cb2-a88c-bc212118838d,X03
a4965609-beee-5cb2-a88c-bc212118838d,X26
a4965609-beee-5cb2-a88c-bc212118838d,X27
c8c0f84f-80e2-5d5d-98da-8daa011b8cba,A01
c8c0f84f-80e2-5d5d-98da-8daa011b8cba,D01
c8c0f84f-80e2-5d5d-98da-8daa011b8cba,D09
c8c0f84f-80e2-5d5d-98da-8daa011b8cba,X25
aa8e2ca6-7082-55f3-939c-abe18e2a03da,K00
aa8e2ca6-7082-55f3-939c-abe18e2a03da,Q00
db323090-35d5-5258-8eec-92dd5c93279e,A01
