university_short_name,old_program_id,old_program_code,canonical_program_id,effective_from_year,effective_to_year,reason,is_verified
BPH,605859f4-cbb3-5120-a992-28ec96539deb,7380101_B_C01,3b8ca53f-1cf0-5513-8ca2-c01a35be7211,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,e19319e7-ab11-5057-9ebc-8a3087d2835f,7380101_B_C03,3b8ca53f-1cf0-5513-8ca2-c01a35be7211,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,0659ab2d-f491-59fe-a4b1-2c3c3351a14e,7380101_N_C01,ca618bde-b6cb-55c9-b3a3-45e20798502b,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,580710ae-ebe6-5710-8a5d-005165c7b473,7380101_N_C03,ca618bde-b6cb-55c9-b3a3-45e20798502b,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,b30f0ca2-4eea-5155-9ea5-5f4d95eb90e1,7860214,77a1f7bb-f414-5f2c-9af8-69c2cc897173,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,6961339b-e511-5bec-9cdf-2a2531d5e860,7860214_A01_4,74c9467c-bd1c-572c-a2da-c2cfe7f4d403,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,831fe59b-4c9b-5698-9ef2-96efa61643ac,7860214_A01_5,d3127809-327e-5f7f-8494-294bc370ce14,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,b87cd785-1099-5b2e-80f0-008606a44ce7,7860214_A01_7,f1154186-5738-58c1-a666-5138f7579444,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,f4b26d33-aeeb-5134-a978-17dc10ebea68,7860214_A01_9,94b8eae3-b5c5-5964-ba08-03d738274ff0,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,3efdfddc-7e17-5017-b6e3-0a629583e14a,7860214_B_A01,77a1f7bb-f414-5f2c-9af8-69c2cc897173,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,ff72939e-860d-5b3c-9e53-9ef48baf1f90,7860214_B_C00,77a1f7bb-f414-5f2c-9af8-69c2cc897173,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,cf51b43b-3417-5fcd-b32c-3381e1be4d4f,7860214_B_C01,77a1f7bb-f414-5f2c-9af8-69c2cc897173,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,33ae586a-e55e-5f76-8a9c-5f5414dfe576,7860214_C00_4,74c9467c-bd1c-572c-a2da-c2cfe7f4d403,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,22ca1ed6-1794-5c4d-8bef-c1b28578e6c4,7860214_C00_5,d3127809-327e-5f7f-8494-294bc370ce14,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,f9363cbc-1c24-593b-8ce0-980b8a837117,7860214_C00_7,f1154186-5738-58c1-a666-5138f7579444,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,ddbd236c-2c17-529c-838f-a9dfee65ae64,7860214_C00_9,94b8eae3-b5c5-5964-ba08-03d738274ff0,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,597c6301-0973-5a8e-b69d-8da04c25adcf,7860214_C01_4,74c9467c-bd1c-572c-a2da-c2cfe7f4d403,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,211fd6c3-32d6-5b8d-8be4-173faa0552ee,7860214_C01_5,d3127809-327e-5f7f-8494-294bc370ce14,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,3a364dce-324e-51ec-b596-1b57b1c43cd3,7860214_C01_7,f1154186-5738-58c1-a666-5138f7579444,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BPH,e3696e18-4432-5de5-abf3-242dd44c65cb,7860214_C01_9,94b8eae3-b5c5-5964-ba08-03d738274ff0,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BVH,d6798c38-59bc-5efc-a631-491e4debcc32,7340101-LOG,5b2eaeed-afe3-5014-bf5d-f75c36728ff2,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BVH,2a88d902-c35b-5050-a1ee-73db3df667eb,7340115_CLC,6f8097b3-6ceb-5cf6-88aa-991326d4fc70,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BVH,621a1cf0-f767-53ba-bd07-2244477c6455,7340208,adbf2cd0-e3e0-5385-92b9-d74b173d08af,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BVH,e68ddce1-3f6a-51dc-b6eb-d2bcf81ea317,7340301-CLC,0a2fed13-1f06-58de-8b28-d34c137042d5,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BVH,c8a03501-b96a-58d8-a863-775e65032640,7480201 _CLC,e9eb684d-d533-5574-b17c-24003c8fa52d,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BVH,d9c628d8-2fb0-5f38-a601-b09add92f038,7480201-VNH,e9eb684d-d533-5574-b17c-24003c8fa52d,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BVH,907af31d-8c20-51ab-a4f3-178209a9402f,7480201_UDU,e9eb684d-d533-5574-b17c-24003c8fa52d,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
BVH,34105aea-3fce-52c5-9c3d-3ae2a76c2509,7520207_AIoT,e1048c2e-c498-5425-b095-bdad7a6591e4,,,Dữ liệu quá khứ (Mã nhánh/Biến thể),false
